aou_original,english_original,english_out,french_out,n_add,aou1,aou2,aou3,aou4,aou5
2973,unid. Dusky Grouse / Sooty Grouse,Blue Grouse (Dusky/Sooty),Tétras sombre (sombre/fuligineux) ,2,2970,2971,,,
5677,(unid. race) Dark-eyed Junco ,Dark-eyed Junco (all forms),Junco ardoisé (toutes les formes),5,5671,5670,5680,5660,5690
4123,(unid. Red/Yellow Shafted) Northern Flicker,Northern Flicker (all forms),Pic flamboyant (toutes les formes),3,4125,4120,4130,,
5077,unid. Bullock's Oriole / Baltimore Oriole,Northern Oriole (Bullock's/Baltimore),Oriole du Nord (de Bullock/de Baltimore),2,5080,5070,5078,,
3370,Red-tailed Hawk,Red-tailed Hawk (all forms),Buse à queue rousse (toutes les formes),1,3380,,,,
4022,unid. sapsucker,Sapsuckers (Yellow-bellied/Red-naped/Red-breasted/Williamson's),Pics buveur de sève (maculé/à nuque rouge/à poitrine rouge),4,4020,4021,4031,4032,
1690,Snow Goose,Snow Goose (all forms),Oie des neiges (toutes les formes),1,1691,,,,
6295,unid. Cassin's Vireo / Blue-headed Vireo,Solitary Vireo (Blue-headed/Cassin's),Viréo à tête bleue (à tête bleue/de Cassin),3,6292,6291,6290,,
4665,unid. Alder Flycatcher / Willow Flycatcher,Traill's Flycatcher (Alder/Willow),Moucherolle de Traill (des aulnes/ des saules),2,4661,4660,,,
4642,unid. Cordilleran / Pacific-slope Flycatcher,Western Flycatcher (Cordilleran/Pacific-slope),Moucherolle côtier (des ravins/ côtier),2,4641,4640,,,
12,unid. Western Grebe / Clark's Grebe,Western Grebe (Clark's/Western),Grèbe élégant (à face blanche/élégant),2,10,11,,,
6556,(unid. Myrtle/Audubon's) Yellow-rumped Warbler,Yellow-rumped Warbler (all forms),Paruline à croupion jaune (toutes les formes),2,6550,6560,,,
5275,unid. Common Redpoll / Hoary Redpoll,Redpoll (Common/Hoary),Sizerin (Flammé/Blanchâtre),2,5270,5280,,,
