"region","area_sq_km"
"AB",662849.779901334
"AK",1476067.17695597
"AL",133473.489285251
"AR",137938.337280419
"AZ",294937.443579052
"BC",942861.828303502
"CA",408628.457618274
"CO",269543.804320985
"CT",12757.9008281874
"DE",5382.865392229
"FL",146466.748793797
"GA",152270.909719437
"IA",145647.704606085
"ID",215967.326535859
"IL",145456.278925705
"IN",93716.6150374484
"KS",212981.263120764
"KY",104939.058145595
"LA",121069.957442724
"MA",20842.6908676855
"MB",650259.244173941
"MD",25613.8848218068
"ME",84067.5102117544
"MI",149771.508127789
"MN",218484.902357492
"MO",181138.378962384
"MS",123334.32764627
"MT",380995.432902117
"NB",72990.9735372866
"NC",127806.45791066
"ND",183102.28669636
"NE",200489.623994641
"NH",23935.8101773168
"NJ",19982.2505868522
"NL",404549.022580155
"NM",315574.136886382
"NS",56312.7506058101
"NT",1176436.95471943
"NU",1567639.50707101
"NV",286113.683426026
"NY",126063.564108785
"OH",106421.631711162
"OK",181127.120613357
"ON",988752.252885467
"OR",251279.594103578
"PA",117165.728159973
"PE",5189.1636494096
"QC",1509077.42456123
"RI",2833.6143622446
"SC",79874.9092465816
"SD",199443.665322665
"SK",652506.48729045
"TN",108827.275168749
"TX",685492.560045996
"UT",219857.719447594
"VA",103753.087097962
"VT",25041.4816987786
"WA",175002.500529163
"WI",145841.348403704
"WV",62692.4924972018
"WY",253626.594803787
"YT",484875.03225532
