region,area_sq_km,national,prov_state,bcr
CA-AB-10,52564.62776,CA,AB,10
CA-AB-11,149351.8331,CA,AB,11
CA-AB-6,445135.6378,CA,AB,6
CA-AB-7,8810.525556,CA,AB,7
CA-AB-8,6987.155721,CA,AB,8
CA-BC-10,383005.7851,CA,BC,10
CA-BC-4,193179.8187,CA,BC,4
CA-BC-5,199819.8393,CA,BC,5
CA-BC-6,106917.4071,CA,BC,6
CA-BC-9,59938.97821,CA,BC,9
CA-MB-11,70100.47692,CA,MB,11
CA-MB-12,15312.00905,CA,MB,12
CA-MB-3,1342.48864,CA,MB,3
CA-MB-6,127190.0755,CA,MB,6
CA-MB-7,202162.8187,CA,MB,7
CA-MB-8,234151.3754,CA,MB,8
CA-NB-14,72990.97354,CA,NB,14
CA-NL-3,19379.90867,CA,NL,3
CA-NL-7,228086.2383,CA,NL,7
CA-NL-8,157082.8757,CA,NL,8
CA-NS-14,56312.75061,CA,NS,14
CA-NT-3,254910.029,CA,NT,3
CA-NT-4,83562.84472,CA,NT,4
CA-NT-6,509421.6842,CA,NT,6
CA-NT-7,328542.3969,CA,NT,7
CA-NU-3,1461324.103,CA,NU,3
CA-NU-7,106315.4038,CA,NU,7
CA-ON-12,206180.0945,CA,ON,12
CA-ON-13,83859.42257,CA,ON,13
CA-ON-7,263166.8269,CA,ON,7
CA-ON-8,435545.9089,CA,ON,8
CA-PE-14,5189.163649,CA,PE,14
CA-QC-12,174314.3922,CA,QC,12
CA-QC-13,28408.95862,CA,QC,13
CA-QC-14,67711.31033,CA,QC,14
CA-QC-3,206485.6945,CA,QC,3
CA-QC-7,561846.4436,CA,QC,7
CA-QC-8,470310.6252,CA,QC,8
CA-SK-11,241315.0014,CA,SK,11
CA-SK-6,177762.7476,CA,SK,6
CA-SK-7,44814.07453,CA,SK,7
CA-SK-8,188614.6638,CA,SK,8
CA-YT-3,28020.81351,CA,YT,3
CA-YT-4,435349.3424,CA,YT,4
CA-YT-5,4128.331567,CA,YT,5
CA-YT-6,17376.54475,CA,YT,6
US-AK-1,9551.175525,US,AK,1
US-AK-2,283405.1211,US,AK,2
US-AK-3,306158.9957,US,AK,3
US-AK-4,725835.2411,US,AK,4
US-AK-5,151116.6435,US,AK,5
US-AL-24,8096.559465,US,AL,24
US-AL-27,82308.21077,US,AL,27
US-AL-28,37769.67704,US,AL,28
