File Name,Format,State
Alabama.zip,Comma Delimited,Alabama
Alaska.zip,Comma Delimited,Alaska
Alberta.zip,Comma Delimited,Alberta
Arizona.zip,Comma Delimited,Arizona
Arkansa.zip,Comma Delimited,Arkansas
BritCol.zip,Comma Delimited,British Columbia
Califor.zip,Comma Delimited,California
Colorad.zip,Comma Delimited,Colorado
Connect.zip,Comma Delimited,Connecticut
Delawar.zip,Comma Delimited,Delaware
Florida.zip,Comma Delimited,Florida
Georgia.zip,Comma Delimited,Georgia
Idaho.zip,Comma Delimited,Idaho
Illinoi.zip,Comma Delimited,Illinois
Indiana.zip,Comma Delimited,Indiana
Iowa.zip,Comma Delimited,Iowa
Kansas.zip,Comma Delimited,Kansas
Kentuck.zip,Comma Delimited,Kentucky
Louisia.zip,Comma Delimited,Louisiana
Maine.zip,Comma Delimited,Maine
Manitob.zip,Comma Delimited,Manitoba
Marylan.zip,Comma Delimited,Maryland
Massach.zip,Comma Delimited,Massachusetts
Michiga.zip,Comma Delimited,Michigan
Minneso.zip,Comma Delimited,Minnesota
Mississ.zip,Comma Delimited,Mississippi
Missour.zip,Comma Delimited,Missouri
Montana.zip,Comma Delimited,Montana
Nebrask.zip,Comma Delimited,Nebraska
NBrunsw.zip,Comma Delimited,New Brunswick
Newfoun.zip,Comma Delimited,Newfoundland
NHampsh.zip,Comma Delimited,New Hampshire
NJersey.zip,Comma Delimited,New Jersey
NMexico.zip,Comma Delimited,New Mexico
NYork.zip,Comma Delimited,New York
Nevada.zip,Comma Delimited,Nevada
NCaroli.zip,Comma Delimited,North Carolina
NDakota.zip,Comma Delimited,North Dakota
NWTerri.zip,Comma Delimited,Northwest Territories
NovaSco.zip,Comma Delimited,Nova Scotia
Nunavut.zip,Comma Delimited,Nunavut
Ohio.zip,Comma Delimited,Ohio
Oklahom.zip,Comma Delimited,Oklahoma
Ontario.zip,Comma Delimited,Ontario
Oregon.zip,Comma Delimited,Oregon
PEI.zip,Comma Delimited,Prince Edward Island
Pennsyl.zip,Comma Delimited,Pennsylvania
Quebec.zip,Comma Delimited,Quebec
RhodeIs.zip,Comma Delimited,Rhode Island
Saskatc.zip,Comma Delimited,Saskatchewan
SCaroli.zip,Comma Delimited,South Carolina
SDakota.zip,Comma Delimited,South Dakota
Tenness.zip,Comma Delimited,Tennessee
Texas.zip,Comma Delimited,Texas
Utah.zip,Comma Delimited,Utah
Vermont.zip,Comma Delimited,Vermont
Virgini.zip,Comma Delimited,Virginia
W_Virgi.zip,Comma Delimited,West Virginia
Washing.zip,Comma Delimited,Washington
Wiscons.zip,Comma Delimited,Wisconsin
Wyoming.zip,Comma Delimited,Wyoming
Yukon.zip,Comma Delimited,Yukon
