St_12,country,prov,bcr,SUM_Count_,MIN_BCR,Area,St_num
CA-AB-10,CA,AB,10,18,10,52565.05017,1
CA-AB-11,CA,AB,11,86,11,149351.7909,2
CA-AB-6,CA,AB,6,92,6,445134.9439,3
CA-AB-8,CA,AB,8,0,8,6987.186399,4
CA-BC-10,CA,BC,10,65,10,383005.9503,5
CA-BC-4,CA,BC,4,9,4,193179.8217,6
CA-BC-5,CA,BC,5,41,5,199819.6978,7
CA-BC-6,CA,BC,6,7,6,106917.2663,8
CA-BC-9,CA,BC,9,26,9,59939.00078,9
CA-BCR7-7,CA,BCR7,7,12,7,1743744.075,10
CA-MB-11,CA,MB,11,36,11,70100.64617,11
CA-MB-12,CA,MB,12,9,12,15311.98301,12
CA-MB-6,CA,MB,6,23,6,127190.4148,13
CA-MB-8,CA,MB,8,14,8,234150.7292,14
CA-NB-14,CA,NB,14,36,14,72990.85876,15
CA-NL-8,CA,NL,8,25,8,157082.7297,16
CA-NSPE-14,CA,NS,14,30,14,61502.01232,17
CA-NT-4,CA,NT,4,0,4,83562.87198,18
CA-NT-6,CA,NT,6,10,6,509422.7687,19
CA-ON-12,CA,ON,12,97,12,206180.7041,20
CA-ON-13,CA,ON,13,63,13,83859.3207,21
CA-ON-8,CA,ON,8,57,8,435545.2618,22
CA-QC-12,CA,QC,12,76,12,174314.3396,23
CA-QC-13,CA,QC,13,14,13,28408.77869,24
CA-QC-14,CA,QC,14,41,14,67711.46721,25
CA-QC-8,CA,QC,8,52,8,470309.8692,26
CA-SK-11,CA,SK,11,71,11,241315.0411,27
CA-SK-6,CA,SK,6,29,6,177762.8373,28
CA-SK-8,CA,SK,8,0,8,188614.6828,29
CA-YT-4,CA,YT,4,48,4,435349.3,30
CA-YT-5,CA,YT,5,0,5,4128.344082,31
CA-YT-6,CA,YT,6,0,6,17376.58959,32
US-AK-1,US,AK,1,1,1,9551.093541,33
US-AK-2,US,AK,2,21,2,283405.2789,34
US-AK-3,US,AK,3,4,3,306156.253,35
US-AK-4,US,AK,4,72,4,725837.8084,36
US-AK-5,US,AK,5,23,5,151116.6346,37
US-AL-24,US,AL,24,9,24,8096.591989,38
US-AL-27,US,AL,27,52,27,82308.19043,39
US-AL-28,US,AL,28,39,28,37769.559,40
US-AL-29,US,AL,29,2,29,5299.034833,41
US-AR-24,US,AR,24,18,24,33232.36272,42
US-AR-25,US,AR,25,25,25,65339.54362,43
US-AR-26,US,AR,26,18,26,39366.31813,44
US-AZ-16,US,AZ,16,26,16,93754.38123,45
US-AZ-33,US,AZ,33,34,33,103604.2333,46
US-AZ-34,US,AZ,34,29,34,96616.57206,47
US-AZ-35,US,AZ,35,0,35,962.259617,48
US-CA-15,US,CA,15,41,15,51971.46929,49
US-CA-32,US,CA,32,107,32,165694.2721,50
US-CA-33,US,CA,33,44,33,105017.1808,51
US-CA-5,US,CA,5,38,5,45531.74867,52
US-CA-9,US,CA,9,24,9,40413.80322,53
US-CO-10,US,CO,10,4,10,8811.515656,54
US-CO-16,US,CO,16,92,16,147141.7562,55
US-CO-18,US,CO,18,54,18,113590.5534,56
US-CT-14,US,CT,14,2,14,1194.519036,57
US-CT-28,US,CT,28,1,28,598.818396,58
US-CT-30,US,CT,30,12,30,10964.58638,59
US-DE-29,US,DE,29,1,29,282.918843,60
US-DE-30,US,DE,30,15,30,5099.966618,61
US-FL-27,US,FL,27,40,27,52283.52253,62
US-FL-31,US,FL,31,68,31,94183.16325,63
US-GA-27,US,GA,27,63,27,93344.77051,64
US-GA-28,US,GA,28,9,28,16305.78389,65
US-GA-29,US,GA,29,35,29,42620.47858,66
US-IA-11,US,IA,11,11,11,30394.68658,67
US-IA-22,US,IA,22,26,22,108201.4396,68
US-IA-23,US,IA,23,1,23,7051.439993,69
US-ID-10,US,ID,10,27,10,104598.8207,70
US-ID-16,US,ID,16,0,16,760.679014,71
US-ID-9,US,ID,9,37,9,110607.7606,72
US-IL-22,US,IL,22,87,22,124348.6115,73
US-IL-23,US,IL,23,4,23,2605.385182,74
US-IL-24,US,IL,24,10,24,18425.40286,75
US-IL-26,US,IL,26,0,26,76.805288,76
US-IN-22,US,IN,22,38,22,44870.75407,77
US-IN-23,US,IN,23,8,23,12851.46864,78
US-IN-24,US,IN,24,21,24,35994.23217,79
US-KS-18,US,KS,18,8,18,37179.24244,80
US-KS-19,US,KS,19,35,19,109389.9967,81
US-KS-21,US,KS,21,0,21,82.044319,82
US-KS-22,US,KS,22,21,22,66243.03505,83
US-KS-24,US,KS,24,0,24,86.802345,84
US-KY-24,US,KY,24,48,24,69757.5674,85
US-KY-26,US,KY,26,0,26,567.96021,86
US-KY-27,US,KY,27,3,27,4397.933021,87
US-KY-28,US,KY,28,16,28,30215.71299,88
US-LA-25,US,LA,25,32,25,47075.07099,89
US-LA-26,US,LA,26,31,26,41858.85548,90
US-LA-27,US,LA,27,6,27,7148.763172,91
US-LA-37,US,LA,37,26,37,24987.28761,92
US-MA-14,US,MA,14,9,14,5777.256359,93
US-MA-28,US,MA,28,1,28,501.554179,94
US-MA-30,US,MA,30,17,30,14563.87641,95
US-MD-28,US,MD,28,13,28,4226.453104,96
US-MD-29,US,MD,29,17,29,7252.347389,97
US-MD-30,US,MD,30,43,30,14135.11143,98
US-ME-14,US,ME,14,77,14,81904.99806,99
US-ME-30,US,ME,30,4,30,2162.479756,100
US-MI-12,US,MI,12,61,12,86620.13857,101
US-MI-22,US,MI,22,3,22,4207.877029,102
US-MI-23,US,MI,23,41,23,58943.52711,103
US-MN-11,US,MN,11,29,11,70093.12883,104
US-MN-12,US,MN,12,37,12,88347.04795,105
US-MN-22,US,MN,22,3,22,10490.47648,106
US-MN-23,US,MN,23,21,23,49554.17154,107
US-MO-22,US,MO,22,35,22,83079.06982,108
US-MO-24,US,MO,24,32,24,87034.11826,109
US-MO-26,US,MO,26,2,26,11025.22993,110
US-MS-26,US,MS,26,10,26,19563.34498,111
US-MS-27,US,MS,27,48,27,103770.9846,112
US-MT-10,US,MT,10,39,10,158791.8134,113
US-MT-11,US,MT,11,12,11,83760.14069,114
US-MT-17,US,MT,17,20,17,138443.2745,115
US-NC-27,US,NC,27,52,27,60229.12819,116
US-NC-28,US,NC,28,21,28,21172.84562,117
US-NC-29,US,NC,29,32,29,46404.12178,118
US-ND-11,US,ND,11,33,11,128136.1849,119
US-ND-17,US,ND,17,14,17,54965.97065,120
US-NE-11,US,NE,11,7,11,15651.75396,121
US-NE-17,US,NE,17,2,17,4482.413455,122
US-NE-18,US,NE,18,8,18,35473.74294,123
US-NE-19,US,NE,19,29,19,122725.4634,124
US-NE-22,US,NE,22,6,22,22156.46144,125
US-NH-14,US,NH,14,20,14,19955.68369,126
US-NH-30,US,NH,30,5,30,3980.116582,127
US-NJ-28,US,NJ,28,8,28,3860.528908,128
US-NJ-29,US,NJ,29,7,29,3892.38579,129
