"region","area_sq_km"
"25_-80",6975.56850242
"25_-81",2616.00957052
"25_-97",195.64316677983
"26_-80",10222.2660595
"26_-81",10093.5843673
"26_-82",630.966337684
"26_-97",6313.93667675
"26_-98",8830.28049573
"26_-99",1482.85337681
"27_-80",7447.94214738
"27_-81",10949.1734476
"27_-82",6338.8347145
"27_-97",7110.35857757
"27_-98",10949.1734476
"27_-99",6815.32742117
"28_-100",4022.41821773
"28_-103",1.47815183613
"28_-80",3436.4726796
"28_-81",10850.1355329
"28_-82",7711.31689916
"28_-95",1797.87424034
"28_-96",5777.91826903
"28_-97",10717.30098989
"28_-98",10845.62665924
"28_-99",10848.3145718
"29_-100",9875.33215621
"29_-101",3366.3375389461
"29_-102",3435.57074004
"29_-103",9307.18851298
"29_-104",3221.62835656
"29_-80",119.357596891
"29_-81",9190.630913804
"29_-82",10387.01894743
"29_-83",3523.8374944736
"29_-84",1208.01602961
"29_-85",1264.67136648
"29_-89",4236.061949726
"29_-90",8467.70019839
"29_-91",4600.23299906
"29_-92",4013.4022470294
"29_-93",2706.097625553
"29_-94",4432.52622432
"29_-95",10402.8217717431
"29_-96",10747.80109896
"29_-97",10746.9581493749
"29_-98",10752.30997266
"29_-99",10747.80109896
"30_-100",10641.3355281115
"30_-101",10636.721486011
"30_-102",10642.196069
"30_-103",10642.196069
"30_-104",9243.60738086
"30_-105",1063.98650251
"30_-81",5963.895553465
"30_-82",10642.19606903
"30_-83",10560.42089605
"30_-84",10362.67178122
"30_-85",9658.37564867954
"30_-86",6245.7433315073
"30_-87",6436.92662756
"30_-88",6354.95953458
"30_-89",8571.171407825
"30_-90",10642.196069023
"30_-91",10636.7776191523
"30_-92",10639.08122983
"30_-93",10640.663206393
"30_-94",10642.196069032
"30_-95",10643.632907758
"30_-96",10642.196069
"30_-97",10638.95043303
"30_-98",10642.196069
"30_-99",10642.196069
"31_-100",10539.256390623
"31_-101",10533.503474736
"31_-102",10533.34735066
"31_-103",10526.9873878418
"31_-104",10533.3473507
"31_-105",9602.64597816
"31_-106",3538.55731875
"31_-107",2568.41617999
"31_-108",6390.1693045236
"31_-109",6909.2366341335
"31_-110",6949.130904162
"31_-111",5516.58601432
"31_-112",2087.74682486
"31_-113",33.7131510239
"31_-80",30.14102429378
"31_-81",8041.36754535
"31_-82",10533.3473507
"31_-83",10533.3473507
"31_-84",10533.3473507
"31_-85",10536.4550154746
"31_-86",10535.850500132
"31_-87",10538.8656527467
"31_-88",10533.40665186
"31_-89",10533.3473507
"31_-90",10533.3473507
"31_-91",10536.549785581
"31_-92",10538.27286483
"31_-93",10538.81343768
"31_-94",10533.1174768691
"31_-95",10534.1257299
"31_-96",10533.3473507
"31_-97",10538.80440038
"31_-98",10533.34735065
"31_-99",10528.21408908
"32_-100",10421.2828415
"32_-101",10421.38831268
"32_-102",10421.2828415
"32_-103",10424.5833949293
"32_-104",10421.282841489
"32_-105",10421.2828415412
"32_-106",10426.6529948336
"32_-107",10416.17798327
"32_-108",10421.28284153
"32_-109",10422.84436665
"32_-110",10421.24479317
"32_-111",10427.1113584281
"32_-112",10421.2828415
"32_-113",9288.54423549
"32_-114",5905.1877402
"32_-115",3646.75582404
"32_-116",4436.30005961
"32_-117",1039.85564115
"32_-79",887.12549755
"32_-80",6480.5580770207
"32_-81",10416.08982276
"32_-82",10421.2828415
"32_-83",10416.56406849
"32_-84",10421.282841536
"32_-85",10417.251470768
"32_-86",10417.36392129
"32_-87",10421.2828415
"32_-88",10421.94166881
"32_-89",10421.2828415
"32_-90",10417.052377109
"32_-91",10417.240072352
"32_-92",10421.282841536
"32_-93",10421.2828415
"32_-94",10420.653397769
"32_-95",10420.2173402
"32_-96",10421.2828415
"32_-97",10421.2828415
"32_-98",10421.2828415
"32_-99",10421.1919276
"33_-100",10306.0314354
"33_-101",10310.70801755
"33_-102",10306.0314354
"33_-103",10308.238836541
"33_-104",10300.089909015
"33_-105",10306.03143536
"33_-106",10300.79792462
"33_-107",10311.13629362
"33_-108",10302.80507124
"33_-109",10306.220611382
"33_-110",10311.05938201
"33_-111",10306.03143535
"33_-112",10304.1702679332
"33_-113",10306.0314354
"33_-114",10306.14982496
"33_-115",10306.0314354
"33_-116",10306.67343888
"33_-117",7289.7731347
"33_-118",1157.67258741
"33_-77",36.4666548066
"33_-78",1700.579552259
"33_-79",9082.78918173
"33_-80",10306.0314354
"33_-81",10306.507883544
"33_-82",10301.0591113303
"33_-83",10310.750208396
"33_-84",10304.1529288036
"33_-85",10306.738825645
"33_-86",10309.9503555991
"33_-87",10301.86592491
"33_-88",10307.29247719
"33_-89",10306.0314354
"33_-90",10308.97507691
"33_-91",10308.4034363634
"33_-92",10306.031435312
"33_-93",10306.031435366
"33_-94",10301.8181168559
"33_-95",10311.21943767
"33_-96",10304.784731293
"33_-97",10305.3205665042
"33_-98",10305.4516743762
"33_-99",10311.25561087
"34_-100",10187.6056948201
"34_-101",10184.73012764
"34_-102",10187.6230272
"34_-103",10187.678911289
"34_-104",10188.798607729
"34_-105",10187.6230272
"34_-106",10192.85653796
"34_-107",10187.62302722
"34_-108",10190.84939134
"34_-109",10187.65637188
"34_-110",10187.62302723
"34_-111",10185.7076461018
"34_-112",10183.990735778
"34_-113",10182.934400945
"34_-114",10188.00469657
"34_-115",10187.6230272
"34_-116",10192.01313844
"34_-117",10187.62302723
"34_-118",10034.09195728
"34_-119",6957.14893548
"34_-120",3299.55549845
"34_-76",1627.47638095
"34_-77",5895.87777863
"34_-78",10191.756139995
"34_-79",10186.1947485571
"34_-80",10185.357859522
"34_-81",10192.3395978409
"34_-82",10187.736696204
"34_-83",10186.876594092
"34_-84",10184.2924170696
"34_-85",10192.527292672
"34_-86",10183.3252374171
"34_-87",10186.076957793
"34_-88",10189.8778063825
"34_-89",10186.7094465509
"34_-90",10185.53905623
"34_-91",10191.3710131807
"34_-92",10187.623027221
"34_-93",10187.6230272
"34_-94",10187.81105739
"34_-95",10187.6230272
"34_-96",10184.37091505
"34_-97",10182.18395168
"34_-98",10188.202788196
"34_-99",10187.62302722
"35_-100",10062.1766926374
"35_-101",10069.517823908
"35_-102",10066.0885188
"35_-103",10066.138656905
"35_-104",10070.854464595
"35_-105",10063.512370816
"35_-106",10066.0885188
"35_-107",10066.0885188
"35_-108",10066.0885188
"35_-109",10066.121376125
"35_-110",10066.0885188
"35_-111",10068.00389985
"35_-112",10067.03104041
"35_-113",10064.898269676
"35_-114",10066.744839295
"35_-115",10064.24484141
"35_-116",10066.0885188
"35_-117",10065.8955123321
"35_-118",10066.89819667
"35_-119",10066.0885188
"35_-120",9095.45744275
"35_-121",1507.047443
"35_-75",782.635868243
"35_-76",7049.34927594
"35_-77",10066.0885188
"35_-78",10063.94033075
"35_-79",10067.51679743
"35_-80",10068.353686451
"35_-81",10062.10648522
"35_-82",10065.493040404
"35_-83",10066.8349518838
"35_-84",10071.2976355061
"35_-85",10061.47162897
"35_-86",10070.3863085651
"35_-87",10071.8000986326
"35_-88",10066.1790997524
"35_-89",10061.4059184278
"35_-90",10065.7089562064
"35_-91",10062.9581781
"35_-92",10066.08851876
"35_-93",10066.08851876
"35_-94",10066.19142227
"35_-95",10061.657020847
"35_-96",10070.2988802851
"35_-97",10068.10124056
"35_-98",10066.0885188
"35_-99",10066.0885188
"36_-100",9940.7493599736
"36_-101",9939.7389212552
"36_-102",9938.8056847099
"36_-103",9942.2058088144
"36_-104",9937.3159939756
"36_-105",9944.0359707438
"36_-106",9941.4598228022
"36_-107",9941.4598227999
"36_-108",9941.4598227978
"36_-109",9941.49243234167
"36_-110",9937.05388353976
"36_-111",9941.4598228
"36_-112",9946.0107599774
"36_-113",9941.83676865416
"36_-114",9941.48935259442
"36_-115",9939.6810422963
"36_-116",9937.5039939731
"36_-117",9936.73332537645
"36_-118",9941.054954902
"36_-119",9937.837781623
"36_-120",9941.4598228
"36_-121",7889.43638656
"36_-122",27.5993125773
"36_-75",397.054244438
"36_-76",8680.41602327846
"36_-77",9936.807165423
"36_-78",9943.6080108
"36_-79",9941.45982279
"36_-80",9940.279784889
"36_-81",9945.441856341
"36_-82",9944.118819567
"36_-83",9941.459822799
"36_-84",9936.7977355071
"36_-85",9946.07671258
"36_-86",9941.4598228
"36_-87",9941.4598228
"36_-88",9938.25139599
"36_-89",9944.42603637402
"36_-90",9942.072263491
"36_-91",9944.728960638
"36_-92",9941.4598228
"36_-93",9941.4598228
"36_-94",9941.6346202657
"36_-95",9941.78284879336
"36_-96",9936.55139736153
"36_-97",9941.2035862312
"36_-98",9941.4598228
"36_-99",9936.82016029705
"37_-100",9813.89113096
"37_-101",9815.4907691749
"37_-102",9815.6644669078
"37_-103",9813.76986763
"37_-104",9816.5658998975
"37_-105",9813.769867627
"37_-106",9813.76986763
"37_-107",9813.76986763
"37_-108",9813.76986763
"37_-109",9813.839601996
"37_-110",9818.1758068822
"37_-111",9813.7698676257
"37_-112",9809.8691476276
"37_-113",9819.27179713841
"37_-114",9816.90168759833
"37_-115",9817.39232548
"37_-116",9817.72569646
"37_-117",9813.7890017
"37_-118",9813.81460245
"37_-119",9813.835469563
"37_-120",9809.966849218
"37_-121",9813.76986763
"37_-122",3891.29887091
"37_-75",1907.23515831
"37_-76",6092.096815179
"37_-77",9813.90306109
"37_-78",9810.850829844
"37_-79",9813.76986763
"37_-80",9814.884060236
"37_-81",9813.76986762722
"37_-82",9812.04136736
"37_-83",9810.332153151
"37_-84",9818.43195492
"37_-85",9813.76986763
"37_-86",9809.15165903
"37_-87",9813.76986763
"37_-88",9817.5884000489
"37_-89",9816.3998350835
"37_-90",9816.06225128422
"37_-91",9813.76986763
"37_-92",9813.76986763
"37_-93",9810.828912009
"37_-94",9814.0883376554
"37_-95",9817.8783395438
"37_-96",9818.9667477688
"37_-97",9816.88179920816
"37_-98",9813.76986762822
"37_-99",9818.40953012849
"38_-100",9685.71826424
"38_-101",9683.052600754
"38_-102",9683.041951661
"38_-103",9683.05260076
"38_-104",9682.612098575
"38_-105",9683.052600761
"38_-106",9683.05260076
"38_-107",9683.05260076
"38_-108",9683.05260076
"38_-109",9682.879561243
"38_-110",9683.05260076
"38_-111",9679.918658324
"38_-112",9683.55989211
"38_-113",9683.05260076
"38_-114",9683.071659457
"38_-115",9683.05260076
"38_-116",9683.05260076
"38_-117",9687.952970491
"38_-118",9687.488313685
"38_-119",9683.6937440834
"38_-120",9686.85561917
"38_-121",9682.52443303359
"38_-122",9227.99232643
"38_-123",2656.425367389
"38_-74",8.03770425606
"38_-75",7730.15437972849
"38_-76",5893.717381686
"38_-77",9567.5835825978
"38_-78",9681.726891463
"38_-79",9683.05260076
"38_-80",9683.11844605607
"38_-81",9680.41333397
"38_-82",9687.15221065
"38_-83",9681.643456726
"38_-84",9678.521675233
"38_-85",9683.05260076
"38_-86",9687.67080936
"38_-87",9678.60158774
"38_-88",9683.51132240429
"38_-89",9683.05260076
"38_-90",9679.834547137
"38_-91",9683.05260076
"38_-92",9679.680216166
