"region","area_sq_km"
"CA-AB-10",52564.6277559477
"CA-AB-11",149351.833093375
"CA-AB-6",445135.637774158
"CA-AB-8",6987.15572145186
"CA-BC-10",383005.78505362
"CA-BC-4",193179.818694791
"CA-BC-5",199819.839295213
"CA-BC-6",106917.407053471
"CA-BC-9",59938.9782064069
"CA-BCR-7",1743744.7282138
"CA-MB-11",70100.4769198802
"CA-MB-12",15312.00905336
"CA-MB-3",1342.48864012147
"CA-MB-6",127190.075511385
"CA-MB-8",234151.375352041
"CA-NB-14",72990.9735372866
"CA-NL-3",19379.908665155
"CA-NL-8",157082.875656403
"CA-NSPE-14",61501.9142552197
"CA-NT-3",254910.028965226
"CA-NT-4",83562.844724145
"CA-NT-6",509421.684178556
"CA-NU-3",1461324.10328147
"CA-ON-12",206180.094539761
"CA-ON-13",83859.4225664574
"CA-ON-8",435545.908885901
"CA-QC-12",174314.392185569
"CA-QC-13",28408.9586222006
"CA-QC-14",67711.3103298791
"CA-QC-3",206485.694539118
"CA-QC-8",470310.625246652
"CA-SK-11",241315.001448494
"CA-SK-6",177762.747559962
"CA-SK-8",188614.663752545
"CA-YT-3",28020.8135110992
"CA-YT-4",435349.342423208
"CA-YT-5",4128.33156682216
"CA-YT-6",17376.5447541905
"US-AK-1",9551.17552526653
"US-AK-2",283405.121140498
"US-AK-3",306158.995674993
"US-AK-4",725835.241120158
"US-AK-5",151116.643495057
"US-AL-24",8096.5594648942
"US-AL-27",82308.2107709319
"US-AL-28",37769.6770383451
"US-AL-29",5299.04201108
"US-AR-24",33232.452767811
"US-AR-25",65339.5293640332
"US-AR-26",39366.3551485744
"US-AZ-16",93754.5413492019
"US-AZ-33",103604.26612582
"US-AZ-34",96616.3562060493
"US-AZ-35",962.2798979815
"US-CA-15",51971.4624268033
"US-CA-32",165694.434008773
"US-CA-33",105017.022452323
"US-CA-5",45531.6874665699
"US-CA-9",40413.8512638037
"US-CO-10",8811.46395670221
"US-CO-16",147141.703222505
"US-CO-18",113590.637141778
"US-CT-14",1194.5168746771
"US-CT-28",598.818627421
"US-CT-30",10964.5653260893
"US-DE-29",282.918956209
"US-DE-30",5099.94643602
"US-FL-27",52285.0063944833
"US-FL-31",94181.7423993136
"US-GA-27",93344.6829557197
"US-GA-28",16305.8371903617
"US-GA-29",42620.389573356
"US-IA-11",30394.8177324
"US-IA-22",108201.383402049
"US-IA-23",7051.5034716355
"US-ID-10",104598.895485987
"US-ID-16",760.6774212146
"US-ID-9",110607.753628657
"US-IL-22",124348.97313979
"US-IL-23",2605.389559213
"US-IL-24",18425.1109094
"US-IL-26",76.8053173015
"US-IN-22",44870.797982907
"US-IN-23",12851.421348641
"US-IN-24",35994.3957059004
"US-KS-18",37179.3188646262
"US-KS-19",109389.954034624
"US-KS-21",82.05021149747
"US-KS-22",66243.1706703618
"US-KS-24",86.7693396539
"US-KY-24",69757.484667369
"US-KY-26",568.038833623
"US-KY-27",4397.905181942
"US-KY-28",30215.6294626612
"US-LA-25",47075.2019355461
"US-LA-26",41858.8305242127
"US-LA-27",7148.80515772
"US-LA-37",24987.119825245
"US-MA-14",5777.24677415011
"US-MA-28",501.554370124
"US-MA-30",14563.8897234114
"US-MD-28",4226.36796549
"US-MD-29",7252.3801281354
"US-MD-30",14135.1367281814
"US-ME-14",81905.0296504444
"US-ME-30",2162.48056131
"US-MI-12",86620.1375248603
"US-MI-22",4207.8609222992
"US-MI-23",58943.509680629
"US-MN-11",70093.2375810209
"US-MN-12",88347.1841994745
"US-MN-22",10490.3699463103
"US-MN-23",49554.1106306864
"US-MO-22",83079.15871974
"US-MO-24",87034.0102735231
"US-MO-26",11025.2099691208
"US-MS-26",19563.3170065075
"US-MS-27",103771.010639762
"US-MT-10",158791.927761558
"US-MT-11",83760.1690980596
"US-MT-17",138443.336042499
"US-NC-27",60229.4510848476
"US-NC-28",21172.7524941529
"US-NC-29",46404.2543316591
"US-ND-11",128136.220300193
"US-ND-17",54966.0663961673
"US-NE-11",15651.8470106507
"US-NE-17",4482.41458418885
"US-NE-18",35473.6470218042
"US-NE-19",122725.373010844
"US-NE-22",22156.342367154
"US-NH-14",19955.6370961088
"US-NH-30",3980.173081208
"US-NJ-28",3860.54386555956
"US-NJ-29",3892.271298011
"US-NJ-30",12229.4354232817
"US-NM-16",132610.034088107
"US-NM-18",67396.6334067438
"US-NM-34",27645.869979618
"US-NM-35",87921.599411913
"US-NV-15",785.45806276249
"US-NV-16",158.292200377
"US-NV-33",38362.011515251
"US-NV-9",246807.921647635
"US-NY-13",54097.579159123
"US-NY-14",28749.0891396944
"US-NY-28",38018.085347462
"US-NY-30",5198.8104625058
"US-OH-13",21453.2069615984
"US-OH-22",52865.029865213
"US-OH-23",87.1393176655
"US-OH-24",1082.880733693
"US-OH-28",30933.374832992
"US-OK-18",11148.6490943737
"US-OK-19",75069.8299251726
"US-OK-21",41847.8680471357
"US-OK-22",15669.2977984762
"US-OK-24",7771.451289064
"US-OK-25",29620.024459135
"US-OR-10",53638.5495300667
"US-OR-5",81963.4657875025
"US-OR-9",115677.578786009
"US-PA-13",8060.665924779
"US-PA-28",96973.3867334887
"US-PA-29",12131.675501705
"US-RI-30",2833.6143622446
"US-SC-27",51140.2962541728
"US-SC-28",1775.90246397685
"US-SC-29",26958.710528432
"US-SD-11",89409.314542895
"US-SD-17",103740.722366401
"US-SD-18",2078.59400075
"US-SD-19",838.95275470225
"US-SD-22",3376.081657917
"US-TN-24",40643.7448239145
"US-TN-26",1525.506763465
"US-TN-27",25256.0985476224
"US-TN-28",41401.9250337474
"US-TX-18",105639.36685705
"US-TX-19",89322.8576391522
"US-TX-20",58594.8997636221
"US-TX-21",152288.581261051
"US-TX-25",71055.61504442
"US-TX-35",99676.6832283663
"US-TX-36",68077.3820541869
"US-TX-37",40837.1741981478
"US-UT-10",2875.33837288884
"US-UT-16",131471.589368702
"US-UT-33",311.414392898883
"US-UT-9",85199.3773131037
"US-VA-27",18706.527614847
"US-VA-28",39831.9885908185
"US-VA-29",42367.769708556
"US-VA-30",2846.80118374095
"US-VT-13",4533.42871782995
"US-VT-14",20508.0529809486
"US-WA-10",22876.0834799696
"US-WA-5",52629.0080865822
"US-WA-9",99497.4089626112
"US-WI-12",46194.3896801336
"US-WI-22",1316.4600336315
"US-WI-23",98330.498689939
"US-WV-28",62692.4924972018
"US-WY-10",165734.947240701
"US-WY-16",10978.8571196754
"US-WY-17",64730.2088998938
"US-WY-18",12182.5815435164
